com_nam,lin_ima,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb,org_tp,
"FRIENDS OF DENNIS ROSS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00459461&tabIndex=1","H","P","Q","POST OFFICE BOX","LAKELAND","FL","33807","MEEKER, SHELEE M MS.","C00459461","2016","$44,120.00","$700.00","$44,820.00",,,"$277,003.99",,,"$321,823.99",,,,,,,,,,,,,"$326,942.69",,"$149,334.07",,,,"$5,118.70",,,,,,,,,,,,,,,,,,,"$149,334.07","$321,823.99","$144,215.37","$15,343.06","$192,951.68",,,"2015-01-01","2015-06-30",,"H0FL12101",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF DICK DURBIN","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00148999&tabIndex=1","S","P","Q","PO BOX 1949","SPRINGFIELD","IL","62705","ANNE DOUGHERTY","C00148999","2016","$49,884.00","$31,363.00","$81,248.00","$24.00",,"$21,500.00",,,"$102,748.00","$24.00",,,,,,,"$50,000.00",,,,,"$162,389.00",,"$226,747.00",,,,"$9,641.00",,,,,,,,,,,,,,,,,"$100,000.00",,"$326,772.00","$102,723.00","$217,106.00","$741,450.00","$577,067.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF DIETZEL","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00545103&tabIndex=1","H","P","Q","5555 HILTON AVENUE SUITE 106","BATON ROUGE","LA","70808","BRANDON LAGARDE","C00545103","2016",,,,,,,,,,,,,,,,,,,,,,"$127.63",,,,,,"$127.63",,,,,,,,,,,,,,,,,,,,,"-$127.63","$500.00","$627.63","$74,058.20",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF DOC HASTINGS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00286856&tabIndex=1","N","U","T","PO BOX 2485","SPRINGFIELD","VA","22152","CARLIN, ROBERT F.","C00286856","2016",,,,,,,,,,,,,,,,,,,,,"$558.03","$692.03",,"$7,804.58",,,,"$134.00",,,,,,,,,,,"$156,201.43",,,,,,,,"$164,006.01",,"$7,670.58","$163,313.98",,,,"2015-01-01","2015-08-31",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF DON BEYER","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00555888&tabIndex=1","H","P","Q","1751 POTOMAC GREENS DRIVE","ALEXANDRIA","VA","22314","WHIPPLE, MARY MARGARET MS.","C00555888","2016","$318,400.00","$5,945.47","$324,345.47",,,"$207,460.00","$5,000.00","$3,317.50","$535,122.97","$5,000.00",,"$50,250.00",,,,"$50,250.00",,,,,"$4.68","$535,127.65",,"$172,949.33",,,,,,,,,,,,,,,,,,,,,"$86,675.00",,"$314,874.33","$530,122.97","$172,949.33","$86,253.61","$306,506.93","$141,050.00",,"2015-01-01","2015-06-30",,"H4VA08224",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF DOUG BASLER","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00566232&tabIndex=1","H","P","Q","PO BOX 6035","KENT","WA","98064","DOUGLAS M BASLER","C00566232","2016",,,,,,,,"$50.00","$50.00",,,,,,,,,,,,,"$50.00",,"$323.00",,,,,,,,,,,,,,,,,,,,,,,"$323.00","$50.00","$323.00","-$487.69","-$760.69","$505.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF DUANE SAND 2012","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00494948&tabIndex=1","S","P","Q","418 ROSSER AVE SUITE 100","BISMARCK","ND","58502","SCOTT B MACKENZIE","C00494948","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,471.00","$1,471.00","$145,059.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF ED TARPLEY COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00562439&tabIndex=1","H","P","Q","3600 JACKSON STREET SUITE 121","ALEXANDRIA","LA","71303","STACY C AUZENNE","C00562439","2016",,,,,,,,,,,,,,,,,,,,,"$521.40","$521.40",,"$935.00",,,,,,,,,,,,,,,,,,,,,,,"$935.00",,"$935.00","$416.42","$2.82",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF EDWIN W EDWARDS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00560268&tabIndex=1","H","P","Q","435 ROY ROAD","ARNAUDVILLE","LA","70512","RACHELLE MARKS","C00560268","2016",,,,,,,,,,,,,,,,,,,,,,,,"$18,317.48",,,,,,,,,,,,,,,,,,,,,,,"$18,317.48",,"$18,317.48","$22,418.03","$4,100.55",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF ELIZABETH ESTY","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00494203&tabIndex=1","H","P","Q","PO BOX 61","CHESHIRE","CT","06410","FLYNN-HARRIS, PATTI","C00494203","2016","$336,660.68","$21,960.93","$358,621.61","$551.00","$881.32","$153,609.00",,,"$513,111.93","$551.00",,,,,,,,,,,"$.08","$513,752.55",,"$172,235.35",,,,"$640.54",,,,,,,,,,,,,,,,,"$7,850.00",,"$180,636.35","$512,560.93","$171,594.81","$47,328.58","$380,444.78","$149,250.00",,"2015-01-01","2015-06-30",,"H2CT05131",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF ERIC STEWART","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00507178&tabIndex=1","H","P","T","500 DINAH SHORE BLVD","WINCHESTER","TN","37398","JACOB DAWES DUNAVANT","C00507178","2016",,,,,,,,,,,,,,,,,,,,,,,,"$7,038.03",,,,,,,,,,,,,,,,,,,,,,,"$7,038.03",,"$7,038.03","$7,038.03",,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF ERIK PAULSEN","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00439661&tabIndex=1","H","P","Q","P.O. BOX 44369 250 PRAIRIE CENTER DRIVE","EDEN PRAIRIE","MN","55344","LEBEAU, REID","C00439661","2016","$402,089.71","$15,287.00","$417,376.71",,,"$347,959.56",,,"$765,336.27",,,,,,,,"$6,546.98",,,,"$2,715.92","$774,675.17",,"$318,075.40",,,,"$76.00",,,,,,,,,,,"$27,100.00",,,,,,,,"$345,175.40","$765,336.27","$317,999.40","$1,194,960.88","$1,624,460.65",,,"2015-01-01","2015-06-30",,"H8MN03077",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF FARR","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00290429&tabIndex=1","H","P","Q","PO BOX 122","MONTEREY","CA","93942","SLADE, SIDNEY","C00290429","2016","$51,110.00","$10,910.40","$62,020.40","$1,000.00",,"$56,950.00",,,"$118,970.40","$1,000.00",,,,,,,,,,,"$6.00","$118,976.40",,"$82,122.20",,,,,,,,,,,,,,,,,,,,,"$20,000.00",,"$103,122.20","$117,970.40","$82,122.20","$108,712.70","$124,566.90",,,"2015-01-01","2015-06-30",,"H4CA17021",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF FERRIS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00279182&tabIndex=1","Q","U","Q","PO BOX 1227","BIG RAPIDS","MI","49307","BOYCE, ROBERT A. MR.","C00279182","2016","$58,905.00",,"$58,905.00",,,,,,"$58,905.00",,,,,,,,,,,,,"$58,905.00","$58,905.00",,,,"$37,062.90",,,,,,,,,,,,,,,,,,"$4,550.00","$41,612.90","$41,612.90","$58,905.00","$37,062.90","$75,914.11","$93,206.21",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$37,062.90",,,,,,,,,,,"",
"FRIENDS OF FORREST DUNBAR","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00549170&tabIndex=1","H","P","Q","P.O. BOX 140376","ANCHORAGE","AK","99514","JOE SAMANIEGO","C00549170","2016",,,,,,,,,,,,,,,,,,,,,,"$550.00",,"$842.12",,,,"$550.00",,,,,,,,,,,,,,,,,,,"$842.12",,"$292.12","$7,367.75","$7,075.63",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF FRANK GUINTA","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00461350&tabIndex=1","H","P","Q","PO BOX 877","MANCHESTER","NH","03105","KILGORE, PAUL","C00461350","2016","$140,600.00","$5,133.61","$145,733.61","$3,050.00",,"$288,596.16","$7,000.00",,"$434,329.77","$10,050.00",,,,,,,"$14,378.90",,,,,"$448,745.91",,"$150,419.82",,,,"$37.24",,,,,,,,,,,,,,,,,,,"$160,469.82","$424,279.77","$150,382.58","$18,774.31","$307,050.40","$355,000.00",,"2015-01-01","2015-06-30",,"H0NH01217",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF FRANK WOLF","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00166017&tabIndex=1","H","P","Q","2635 OAKTON GLEN DR.","VIENNA","VA","22181","RAHAL, KAMAL","C00166017","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF GARY DELONG","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00500074&tabIndex=1","H","P","Q","5100 E ANAHEIM ROAD","LONG BEACH","CA","90815","SLATER, JEN","C00500074","2016",,,,,,,,,,,,,,,,,,,,,,,,"$1,200.90",,,,,,,,,,,,,,,,,,,,,,,"$1,200.90",,"$1,200.90","$7,812.36","$6,611.46",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF GEORGE DEMOS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00549816&tabIndex=1","H","P","Q","PO BOX 378","RONKONKOMA","NY","11779","ROBERT COLE","C00549816","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9.17","$9.17",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF GEORGE GOLLIN","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00547208&tabIndex=1","H","P","Q","PO BOX 333","CHAMPAIGN","IL","61824","JACCARINO, MATT","C00547208","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,034.26","$4,034.26","$165,000.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF GEORGE LEMIEUX","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00494971&tabIndex=1","S","P","Q","2640A MITCHAM DRIVE","TALLAHASSEE","FL","32308","ABBY F DUPREE CPA","C00494971","2016",,,,,,,,,,,,,,,,,,,,,,,,"$9,776.00",,,,,,,,,,,,,,,,,,,,,"$10,000.00",,"$19,776.00",,"$9,776.00","$321,060.00","$301,282.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF GEORGE MILLER PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00026757&tabIndex=1","Q","U","Q","20 PARK ROAD, SUITE E","BURLINGAME","CA","94010","RUSSELL MILLER","C00026757","2016",,,,,,,,,,,,,,,,,,,,,,,,"$15,927.96",,,,,,,,,,,,,,,,,,,,,"$1,000.00",,"$16,927.96",,"$15,927.96","$167,068.23","$150,140.27","$28.74",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF GINNY BROWN-WAITE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00367680&tabIndex=1","Q","U","Q","P.O. BOX 865","BROOKSVILLE","FL","34605","SOWERS, LORI A","C00367680","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,"$644.99",,,,,,,,,,,,,,,,,,,"$644.99","$644.99",,"$644.99","$197,776.25","$197,131.26",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$644.99",,,,,,,,,,,"",
"FRIENDS OF GLENN THOMPSON","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00444620&tabIndex=1","H","P","Q","133 WATER TOWER LANE","SPRING MILLS","PA","16875","BOBECCK, KATHERINE A. MS.","C00444620","2016","$138,100.00","$12,870.05","$150,970.05",,,"$67,937.94",,,"$218,907.99",,,,,,,,,,,,"$31.10","$218,939.09",,"$220,314.03",,,,,,,,,,,,,,,"$19,000.00",,,,,,,,"$239,314.03","$218,907.99","$220,314.03","$310,510.49","$290,135.55",,,"2015-01-01","2015-06-30",,"H8PA05071",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF HAGEDORN","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00550707&tabIndex=1","H","P","Q","11 CIVIC CENTER PLZ SUITE 007","MANKATO","MN","56001","DOUGLAS R HITZEMANN","C00550707","2016","$38,560.00","$2,350.00","$40,910.00",,,,,"$2,354.91","$43,264.91",,"$8,583.52",,,,"$8,583.52",,,,,,,"$52,207.63",,"$15,267.19",,,,"$359.20",,,,,,,,,,,,,,,,,"$3,960.30",,"$19,227.49","$43,264.91","$14,907.99","$2,297.35","$35,277.49","$31,583.52",,"2015-01-01","2015-06-30",,"H0MN01045",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF HEATHER MCTEER","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00495119&tabIndex=1","H","P","Q","POST OFFICE BOX 1835","GREENVILLE","MS","38702","TONEY, DEXTER","C00495119","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-$14,948.19","-$14,948.19","$225,040.05",,"2015-01-01","2015-03-31",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF HERMAN CAIN INC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00496067&tabIndex=1","P","P","Q","PO BOX 2158","STOCKBRIDGE","GA","30281","MARK J BLOCK","C00496067","2016",,,,"$775.00",,,,"$9,500.00","$9,500.00","$775.00",,,,,,,,,,,,"$9,500.00",,"$13,012.69",,,,,,,,,,,,,,,,,,,,,,,"$13,787.69","$27,725.00","$31,802.52","$5,072.96","$785.27","$19,799.47",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF HILLARY","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00358895&tabIndex=1","S","P","Q","1900 M STREET NW SUITE 500","WASHINGTON","DC","20036","SHELLY R MOSKWA","C00358895","2016",,,,,,,,,,,,,,,,,,,,,"$3,841.00","$3,851.00",,"$147,449.00",,,,"$9.00",,,,,,,,,,,,,,,,,,,"$147,449.00",,"$147,440.00","$158,033.00","$14,435.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF HOUGHTON FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00557702&tabIndex=1","H","P","Q","GREGORY PAULSON, TREASURER PO BOX 2266","LANCASTER","PA","176082266","GREGORY PAULSON","C00557702","2016",,"$30.00","$30.00",,,,,,"$30.00",,,,,,,,,,,,,"$30.00",,"$1,332.14",,,,,,,,,,,,,,,,,,,,,,,"$1,332.14","$30.00","$1,332.14","$1,397.05","$94.91","$7,089.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF IAN SCHLAKMAN","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00550335&tabIndex=1","H","P","Q","PO BOX 27032","BALTIMORE","MD","212300032","BRIAN CLAUDE BITTNER","C00550335","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$280.48","$280.48",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF ISRAEL POLITICAL ACTION COMMITTEE - FIPAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00141747&tabIndex=1","Q","U","M","P.O. BOX 8703","EMERYVILLE","CA","94662","LEVINSON, FRED  ","C00141747","2016","$88,775.00","$2,065.00","$90,840.00","$100.00",,,,,"$90,840.00","$100.00",,,,,,,,,,,,"$90,840.00","$90,840.00",,,,"$3,420.67",,,,,,"$45,000.00",,,,,,,,,,,,,"$48,520.67","$48,520.67","$90,740.00","$3,420.67","$40,080.82","$82,400.15",,,"2015-01-01","2015-08-31",,"",,,,,,,,,,,"$3,420.67",,,,,,,,,,,"M",
"FRIENDS OF JACK KINGSTON","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00544676&tabIndex=1","S","P","Q","PO BOX 2133","SAVANNAH","GA","31402","STEPHEN S LEONARD","C00544676","2016",,,,"$3,900.00",,,,,,"$3,900.00",,,,,,,,,,,"$7.00","$1,744.00",,"$18,069.00",,,,"$1,736.00",,,,,,,,,,,,,,,,,"$15,750.00",,"$37,719.00","-$3,900.00","$16,332.00","$82,404.00","$46,429.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JAN SCHNEIDER","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00392183&tabIndex=1","H","A","Q","487 MEADOWLARK DRIVE","SARASOTA","FL","34236","HAROLD B. SCHNEIDER MR","C00392183","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37.50","$629.36","2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JAN SCHNEIDER 2008","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00447474&tabIndex=1","H","A","Q","487 MEADOWLARK DRIVE","SARASOTA","FL","34236","HAROLD B SCHNEIDER","C00447474","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$689.53","$689.53","$13,611.50",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JARED POLIS COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00435370&tabIndex=1","H","P","Q","P.O. BOX 4572","BOULDER","CO","80306","HOOTON, EDITH R","C00435370","2016","$195,805.00","$18,214.33","$214,019.33","$10.00",,,,"$50,298.98","$264,318.31","$10.00",,,,,,,"$1,151.32",,,,"$1.69","$265,816.04",,"$143,394.51",,,,"$344.72",,,,,,,,,,,,,,,,,,,"$143,404.51","$264,308.31","$143,049.79","$10,603.18","$133,014.71",,,"2015-01-01","2015-06-30",,"H8CO02137",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JASON CHAFFETZ","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00431684&tabIndex=1","H","P","Q","315 WESTFIELD CIRCLE","ALPINE","UT","84004","GARFIELD, BRUCE","C00431684","2016","$85,125.00","$323.00","$85,448.00",,,"$211,000.00",,,"$296,448.00",,,,,,,,,,,,,"$296,519.00",,"$188,896.57",,,,"$71.00",,,,,,,,,,,,,,,,,"$15,000.00",,"$203,896.57","$296,448.00","$188,825.57","$309,377.68","$402,000.11",,,"2015-01-01","2015-06-30",,"H8UT03089",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JEB HENSARLING","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00370650&tabIndex=1","H","P","Q","PO BOX 820504","DALLAS","TX","753820504","CHANDLER, JAMES C.","C00370650","2016","$449,344.37","$11,282.95","$460,627.32",,,"$381,250.00","$1,000.00",,"$841,877.32","$1,000.00",,,,,,,,,,,"$970.28","$844,172.97",,"$253,199.50",,,,"$1,325.37",,,,,,,,,,,,,,,,,"$120,000.00",,"$374,199.50","$840,877.32","$251,874.13","$1,597,051.87","$2,067,025.34",,,"2015-01-01","2015-06-30",,"H2TX05121",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM BRIDENSTINE INC.","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00502393&tabIndex=1","H","P","Q","PMB 230 8086 SOUTH YALE","TULSA","OK","74136","SMITH, PRESTON","C00502393","2016","$224,067.77","$28,612.00","$252,679.77",,,"$69,450.00",,,"$322,129.77",,,,,,,,,,,,"$721.70","$324,797.05",,"$126,843.62",,,,"$1,945.58",,,,,,,,,,,,,,,,,"$8,000.00",,"$134,843.62","$322,129.77","$124,898.04","$370,306.26","$560,259.69",,,"2015-01-01","2015-06-30",,"H2OK01143",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM CLYBURN","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00255562&tabIndex=1","H","P","Q","POST OFFICE BOX 12567","COLUMBIA","SC","29211","BENNETT, JAMES","C00255562","2016","$32,150.00","$10.00","$32,160.00","$1,000.00",,"$534,099.94",,,"$566,259.94","$1,000.00",,,,,,,,,,,"$335.67","$566,606.61",,"$181,421.52",,,,"$11.00",,,,,,,,,,,,,,,,,"$303,299.85",,"$485,721.37","$565,259.94","$181,410.52","$1,251,219.13","$1,332,104.37","$8,076.00",,"2015-01-01","2015-06-30",,"H2SC02042",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM EVANS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00551564&tabIndex=1","H","P","T","6271 S FARM ROAD 67","REPUBLIC","MO","65738","DR SHIRLEY HUFFMAN","C00551564","2016",,,,,,,,"$19,751.41","$19,751.41",,,"$20,000.00",,,,"$20,000.00",,,,,,"$19,751.41",,,,,,,,,,,,,,,,,,,,,,,,,"$20,000.00","$19,751.41",,"$248.59",,,,"2015-01-01","2015-03-31",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM INHOFE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00207993&tabIndex=1","S","P","Q","PO BOX 13300 .","OKLAHOMA CITY","OK","73113","TIMOTHY A. KOCH","C00207993","2016","$32,800.00","$2,445.00","$35,245.00",,,"$37,599.00",,,"$72,844.00",,,,,,,,,,,,,"$77,384.00",,"$67,369.00",,,,"$4,539.00",,,,,,,,,,,,,,,,,,,"$67,369.00","$72,844.00","$62,829.00","$120,506.00","$130,521.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM MALONEY, INC.","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00327924&tabIndex=1","H","P","A","15 WOOSTER HEIGHTS","DANBURY","CT","06810","DRAPER, PATRICIA  ","C00327924","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM ODONNELL","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00560458&tabIndex=1","H","P","T","62 HILLTOWNE DRIVE","ORCHARD PARK","NY","14127","CHRISTOPHER COLLESANO","C00560458","2016",,,,,,,,,,,,,,,,,,,,,,,,"$35.97",,,,,,,,,,,,,,,,,,,,,,,"$35.97",,"$35.97","$1,001.07","$965.10",,,"2015-01-01","2015-04-02",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM SAXTON","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00197699&tabIndex=1","H","P","Q","PO BOX 795","MOUNT HOLLY","NJ","08060","WALKER, PATRICIA M.","C00197699","2016",,,,,,,,,,,,,,,,,,,,,"$391.36","$391.36",,,,,,,,,,,,,,,,,,,,,,,"$13,100.00",,"$13,100.00",,,"$66,504.02","$53,795.38",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JIM SCHNELLER FOR CONGRESS COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00477182&tabIndex=1","H","P","A","430 EAST LANCASTER AVENUE  E25","SAINT DAVIDS","PA","19087","JAMES D SCHNELLER","C00477182","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$167.81","$167.81",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"FRIENDS OF JOE BACA 2014","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00325449&tabIndex=1","H","P","Q","555 CAPITOL MALL, SUITE 1425","SACRAMENTO","CA","95814","BACA, JOE","C00325449","2016",,,,,,,,,,,,,,,,,,,,,,,,"$5,119.20",,,,,,,,,,,,,,,,,,,,,,,"$5,119.20",,"$5,119.20","$5,119.20",,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
